"Time","Estimate","lower_bound","upper_bound","p_val","Outcome","Treatment","Cohort"
2002,-0.00830650480615169,NA,NA,NA,"lnRAPE","D_REC",2017
2003,0.00078791271127665,NA,NA,NA,"lnRAPE","D_REC",2017
2004,0.000968527944748221,NA,NA,NA,"lnRAPE","D_REC",2017
2005,0.00436061567866908,NA,NA,NA,"lnRAPE","D_REC",2017
2006,-0.00348263648654079,NA,NA,NA,"lnRAPE","D_REC",2017
2007,-0.000925066874984282,NA,NA,NA,"lnRAPE","D_REC",2017
2008,0.0058681730396315,NA,NA,NA,"lnRAPE","D_REC",2017
2009,-0.00307010226511339,NA,NA,NA,"lnRAPE","D_REC",2017
2010,0.00876604821163207,NA,NA,NA,"lnRAPE","D_REC",2017
2011,-0.0149097818160935,NA,NA,NA,"lnRAPE","D_REC",2017
2012,-0.00139426828676958,NA,NA,NA,"lnRAPE","D_REC",2017
2013,0.00819546681418748,NA,NA,NA,"lnRAPE","D_REC",2017
2014,-0.0121376302189735,NA,NA,NA,"lnRAPE","D_REC",2017
2015,0.00308324706455743,NA,NA,NA,"lnRAPE","D_REC",2017
2016,0.00417139389891075,NA,NA,NA,"lnRAPE","D_REC",2017
2017,0.00757982281031611,-0.120845285743315,0.147420496568714,0.819,"lnRAPE","D_REC",2017
2018,0.118044367218795,0.0238659542794656,0.257885040977193,0.048,"lnRAPE","D_REC",2017
2019,0.0259737209883482,-0.108159170167666,0.165814394746746,0.65,"lnRAPE","D_REC",2017
1995,0.0579865384050562,NA,NA,NA,"lnROBBERY","D_REC",2017
1996,0.0213743345008579,NA,NA,NA,"lnROBBERY","D_REC",2017
1997,-0.00213676279416042,NA,NA,NA,"lnROBBERY","D_REC",2017
1998,-0.0462159805380633,NA,NA,NA,"lnROBBERY","D_REC",2017
1999,-0.0589980813528914,NA,NA,NA,"lnROBBERY","D_REC",2017
2000,-0.0765944837388428,NA,NA,NA,"lnROBBERY","D_REC",2017
2001,-0.0370876685650465,NA,NA,NA,"lnROBBERY","D_REC",2017
2002,-0.00187275368111539,NA,NA,NA,"lnROBBERY","D_REC",2017
2003,0.0417949922908152,NA,NA,NA,"lnROBBERY","D_REC",2017
2004,0.0170658694908115,NA,NA,NA,"lnROBBERY","D_REC",2017
2005,-0.0770779033591458,NA,NA,NA,"lnROBBERY","D_REC",2017
2006,0.0472075236093525,NA,NA,NA,"lnROBBERY","D_REC",2017
2007,0.0262598939552792,NA,NA,NA,"lnROBBERY","D_REC",2017
2008,0.00103043380581891,NA,NA,NA,"lnROBBERY","D_REC",2017
2009,0.0240813199774248,NA,NA,NA,"lnROBBERY","D_REC",2017
2010,0.0112564505537192,NA,NA,NA,"lnROBBERY","D_REC",2017
2011,-0.0380749905086999,NA,NA,NA,"lnROBBERY","D_REC",2017
2012,0.0172346100117933,NA,NA,NA,"lnROBBERY","D_REC",2017
2013,0.0318025390506422,NA,NA,NA,"lnROBBERY","D_REC",2017
2014,0.0502952917526711,NA,NA,NA,"lnROBBERY","D_REC",2017
2015,0.0306358933239954,NA,NA,NA,"lnROBBERY","D_REC",2017
2016,0.0199053055745493,NA,NA,NA,"lnROBBERY","D_REC",2017
2017,-0.0898327950329865,-0.190791618079917,0.0757396747639799,0.29,"lnROBBERY","D_REC",2017
2018,-0.0700904041115926,-0.203356050533541,0.127788889060392,0.719,"lnROBBERY","D_REC",2017
2019,-0.128002207745484,-0.317804795073714,0.0698770854264998,0.381,"lnROBBERY","D_REC",2017
1995,0.0790371510657089,NA,NA,NA,"lnASSAULT","D_REC",2017
1996,-0.0146170983117608,NA,NA,NA,"lnASSAULT","D_REC",2017
1997,0.0306381746080318,NA,NA,NA,"lnASSAULT","D_REC",2017
1998,0.0102979907105079,NA,NA,NA,"lnASSAULT","D_REC",2017
1999,-0.0323379907390571,NA,NA,NA,"lnASSAULT","D_REC",2017
2000,-0.0677950619251506,NA,NA,NA,"lnASSAULT","D_REC",2017
2001,-0.0107251447853178,NA,NA,NA,"lnASSAULT","D_REC",2017
2002,0.00812843534008145,NA,NA,NA,"lnASSAULT","D_REC",2017
2003,-0.0207728989239273,NA,NA,NA,"lnASSAULT","D_REC",2017
2004,0.0118650694638855,NA,NA,NA,"lnASSAULT","D_REC",2017
2005,0.00685109073065959,NA,NA,NA,"lnASSAULT","D_REC",2017
2006,-0.00523948754216441,NA,NA,NA,"lnASSAULT","D_REC",2017
2007,-0.0330913336160252,NA,NA,NA,"lnASSAULT","D_REC",2017
2008,-0.000547201704788947,NA,NA,NA,"lnASSAULT","D_REC",2017
2009,0.0231503777880944,NA,NA,NA,"lnASSAULT","D_REC",2017
2010,0.0807675679952142,NA,NA,NA,"lnASSAULT","D_REC",2017
2011,-0.0232336292832054,NA,NA,NA,"lnASSAULT","D_REC",2017
2012,0.00647912105313075,NA,NA,NA,"lnASSAULT","D_REC",2017
2013,-0.0152485387368531,NA,NA,NA,"lnASSAULT","D_REC",2017
2014,-0.0019029380488389,NA,NA,NA,"lnASSAULT","D_REC",2017
2015,0.0268927422543923,NA,NA,NA,"lnASSAULT","D_REC",2017
2016,-0.0300843367710346,NA,NA,NA,"lnASSAULT","D_REC",2017
2017,-0.12883485326715,-0.364195402473677,0.0720826887384227,0.159,"lnASSAULT","D_REC",2017
2018,-0.12591883469563,-0.361279383902158,0.097960712110579,0.164,"lnASSAULT","D_REC",2017
2019,-0.163971887591444,-0.422294441598609,0.0828696640154022,0.178,"lnASSAULT","D_REC",2017
